seance,regime,no_oeuf,masse_oeuf,masse_coq,epaisseur_coq,masse_du_jaune,masse_du_blanc,l_int_coq,a_int_coq,b_int_coq,l_jaune,a_jaune,b_jaune,abs_prot,prot_tot,chol_tot,lip_tot
seance 1,WC,2,11.835,1.303,0.52,3.883,6.649,66.66,-2.51,30.02,83.71,-2.44,61.66,,0.6,0.02,64.2
seance 1,WC,3,10.102,1.438,0.39,3.84,4.824,78.96,-3.59,70.8,79.85,2.97,156.19,,0.83,0.01,67.8
seance 2,"Ba 0,25",1,10.156,1.43,0.37,3.648,5.078,87.03,-1.25,2.66,69.27,-7.65,24.14,0.0489,767.4888,11082.7251,
seance 2,"Ba 0,25",2,10.628,1.455,0.32,3.298,5.875,89.83,-0.44,0.9,65.23,-8.64,27.17,0.0493,773.7668,15133.82,
seance 2,"Ba 0,25",3,10.698,1.334,0.22,3.633,5.731,86.18,-2.07,2.25,54.22,-9.43,19.74,0.0484,759.6413,14063.2603,
seance 2,"Ba 0,50",1,9.283,1.323,0.34,3.222,4.738,85.17,-1.55,3.9,64.59,-8.34,22.16,0.0732,1148.8789,11423.3577,
seance 2,"Ba 0,50",2,9.464,1.207,0.27,2.936,5.321,82.31,-2.74,5.71,44.4,-7.77,14.96,0.0707,1109.6413,9927.0073,
seance 2,"Ba 0,50",3,10.054,1.124,0.3,3.176,5.754,86.3,-2.76,3.13,59.45,-10.21,20.88,0.0656,1029.5964,9087.5912,
seance 2,"Ba 0,75",1,12.581,1.267,0.39,4.266,7.048,89.02,-1.69,2.39,66.66,-7.93,24.17,0.1529,2399.7758,12384.4282,
seance 2,"Ba 0,75",2,11.384,1.383,0.31,3.592,6.409,88.58,-1.07,1.89,69.43,-8.59,24.22,0.1438,2256.9507,10243.309,
seance 2,"Ba 0,75",3,12.376,1.456,0.3,3.808,7.112,88.19,-0.49,2.15,65.59,-8.28,22.85,0.1351,2120.4036,5377.129,
seance 2,Ba 1,1,11.011,1.606,0.27,3.916,5.489,85.62,-2.58,2.13,64.08,-8.5,22.1,0.0473,742.3767,6703.163,
seance 2,Ba 1,2,10.812,1.338,0.39,3.481,5.993,86.2,-1.64,1.82,71.45,-7.9,22.18,0.0351,550.8969,14124.0876,
seance 2,Ba 1,3,11.019,1.498,0.29,3.546,5.975,88.75,-0.69,1.74,70.76,-8.09,25.31,0.0404,634.0807,11253.0414,
seance 2,"Ba 2,5",1,9.624,1.266,0.36,3.005,5.076,61.37,-7.84,2.82,74.74,-6.76,28.73,0.068,171.1409,4591.0729,
seance 2,"Ba 2,5",2,9.564,1.182,0.21,2.804,5.619,57.1,-7.44,2.74,69.47,-8.5,26.1,0.0803,202.0973,7934.5717,
seance 2,"Ba 2,5",3,10.083,1.138,0.37,3.307,7.684,79.88,-2.93,0.84,63.1,-8.81,22.09,0.0697,175.4195,6908.7885,
seance 2,Ba 5,1,9.521,1.478,0.27,2.741,15.677,78.71,-3.88,3.07,69.73,-3.48,23.12,0.0669,168.3725,7923.4821,
seance 2,Ba 5,2,9.605,1.223,0.36,3.276,6.65,42.75,-6.44,2.81,55.38,-10.39,14.72,0.0495,124.5805,7180.4824,
seance 2,Ba 5,3,12.129,1.445,0.25,4.162,5.829,44.35,-7.07,3.16,65.63,-8.91,20.9,0.0683,171.896,7990.0194,
seance 2,"Ba 7,5",1,19.896,1.13,0.29,3.591,5.226,42.08,-7.72,3.45,68.36,-11.16,20.7,0.0788,198.3221,7707.2359,
seance 2,"Ba 7,5",2,11.149,1.314,0.27,3.904,5.037,46.03,-6.53,3.68,64.66,-7.59,26.52,0.0996,250.6711,6936.5123,
seance 2,"Ba 7,5",3,11.436,1.456,0.32,3.995,4.465,37.15,-5.83,3.5,60.93,-9.31,15.97,0.0714,179.698,7862.4896,
seance 2,Ba 10,1,9.947,1.165,0.22,3.097,5.685,71.02,-8.15,2.67,70.1,-8.48,20.71,0.0944,237.5839,8267.2581,
seance 2,Ba 10,2,10.255,1.295,0.2,3.472,5.488,43.81,-5.82,1.8,69.33,-7.05,28.93,0.0669,168.3725,9259.7727,
seance 2,Ba 10,3,9.916,1.383,0.37,3.424,5.109,84.64,-1.45,1.71,66.12,-8.53,24.61,0.0561,141.1913,8755.1982,
seance 2,YC,1,11.408,1.616,0.46,3.63,6.162,70.04,-5.12,2.68,67.86,-9.8,40.64,0.1111,279.6141,7840.3105,
seance 2,YC,2,11.263,1.474,0.27,3.748,6.041,60.1,-8.98,3.13,62.58,-8.98,37.29,0.0963,242.3658,9531.4666,
seance 2,YC,3,10.791,1.596,0.39,3.281,5.914,57.69,-7.56,3.22,71.08,-6.9,36.04,0.0785,197.5671,9354.0338,
seance 2,WC,1,9.928,1.083,0.35,3.022,5.823,86.17,-3.77,2.01,58.05,-6.7,19.45,0.2712,4256.5022,13953.7713,
seance 2,WC,2,9.693,1.487,0.32,3.36,4.846,82.64,-5.09,7.92,65.32,-8.87,19.29,0.2429,3812.3318,12652.0681,
seance 2,WC,3,9.863,1.343,0.25,3.039,5.481,87.87,-2.61,1.34,60.14,-9.42,18.93,0.2429,3812.3318,15255.4745,
seance 3,"Ba 0,25",1,10.099,1.318,0.3,3.071,5.71,49.56,-6.14,5.21,45.76,-10.78,19.52,0.0938,137.12,11442.91,
seance 3,"Ba 0,25",2,11.57,1.439,0.32,4.302,5.829,51.74,-5.485,3.295,55.37,-8.58,21.66,0.0799,116.8,10531.99,
